Municipios; Homicidio  Doloso;Vitimas de Homicidio Doloso; Latrocinio; Furtos;Abigeato*;Furto de Veiculo ; Roubos; Roubo de Veiculo; Estelionato; Delitos Relacionados a Armas e Municoes; Entorpecentes Posse; Entorpecentes Trafico;Vitimas de Latrocinio;Vitimas de Lesao Corp Seg Morte
ACEGUA;0;0;0;2;2;0;0;0;2;0;0;0;0;0
AGUA SANTA;1;1;0;2;0;0;0;0;1;0;0;0;0;0
AGUDO;0;0;0;9;0;0;0;0;4;0;1;0;0;0
AJURICABA;0;0;0;2;0;0;0;0;0;0;2;0;0;0
ALECRIM;0;0;0;2;0;0;0;0;2;1;0;0;0;0
ALEGRETE;3;3;0;56;4;2;5;0;35;3;4;8;0;0
ALEGRIA;0;0;0;2;0;0;0;0;0;0;0;0;0;0
ALMIRANTE TAMANDARE DO SUL;0;0;0;1;0;0;0;0;0;1;0;0;0;0
ALPESTRE;0;0;0;1;0;0;0;0;0;1;0;0;0;0
ALTO ALEGRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALTO FELIZ;0;0;0;3;0;0;0;0;1;0;1;0;0;0
ALVORADA;6;6;0;118;2;15;218;35;133;5;14;44;0;0
AMARAL FERRADOR;0;0;0;3;0;0;0;0;1;0;0;0;0;0
AMETISTA DO SUL;0;0;0;3;2;1;0;0;4;1;9;0;0;0
ANDRE DA ROCHA;0;0;0;1;0;0;0;0;0;2;0;0;0;0
ANTA GORDA;0;0;0;3;1;0;0;0;6;0;0;0;0;0
ANTONIO PRADO;1;1;0;3;1;0;0;0;4;0;1;0;0;0
ARAMBARE;0;0;0;18;0;0;0;0;1;0;3;2;0;0
ARARICA;0;0;0;4;0;0;0;1;3;0;0;1;0;0
ARATIBA;0;0;0;0;0;0;1;0;1;0;0;0;0;0
ARROIO DO MEIO;0;0;0;32;0;3;1;0;12;2;1;1;0;0
ARROIO DO PADRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARROIO DO SAL;0;0;0;39;0;2;1;0;20;1;11;7;0;0
ARROIO DO TIGRE;0;0;0;6;2;1;0;0;3;0;0;2;0;0
ARROIO DOS RATOS;0;0;0;7;0;0;3;0;1;1;1;3;0;0
ARROIO GRANDE;0;0;0;12;4;1;3;0;5;0;6;4;0;0
ARVOREZINHA;0;0;0;7;0;1;0;0;2;1;0;0;0;0
AUGUSTO PESTANA;0;0;0;3;1;0;1;0;2;0;0;0;0;0
AUREA;0;0;0;2;0;0;0;0;2;0;0;0;0;0
BAGE;2;2;1;73;8;1;15;0;83;2;6;2;1;0
BALNEARIO PINHAL;0;0;0;20;0;1;9;0;16;0;3;10;0;0
BARAO;0;0;0;0;0;0;0;0;3;0;0;0;0;0
BARAO DE COTEGIPE;0;0;0;1;0;0;0;0;6;0;2;1;0;0
BARAO DO TRIUNFO;0;0;0;1;0;0;0;0;4;0;0;0;0;0
BARRA DO GUARITA;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BARRA DO QUARAI;0;0;0;11;4;0;0;0;0;0;3;1;0;0
BARRA DO RIBEIRO;0;0;0;8;0;0;1;0;4;2;5;3;0;0
BARRA DO RIO AZUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BARRA FUNDA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BARRACAO;0;0;0;4;1;0;0;0;3;0;0;0;0;0
BARROS CASSAL;0;0;0;6;2;1;0;0;0;0;0;0;0;0
BENJAMIN CONSTANT DO SUL;0;0;0;1;1;1;0;0;0;1;0;0;0;0
BENTO GONCALVES;3;7;0;57;0;7;13;2;95;12;11;18;0;0
BOA VISTA DAS MISSOES;0;0;0;1;0;0;0;0;0;0;1;0;0;0
BOA VISTA DO BURICA;0;0;0;0;0;0;1;0;1;0;0;0;0;0
BOA VISTA DO CADEADO;0;0;0;1;0;0;0;0;2;0;0;0;0;0
BOA VISTA DO INCRA;0;0;0;2;1;0;0;0;2;0;0;0;0;0
BOA VISTA DO SUL;0;0;0;3;0;0;0;0;0;0;0;0;0;0
BOM JESUS;0;0;0;11;3;0;1;0;8;0;6;2;0;0
BOM PRINCIPIO;0;0;0;5;0;1;0;0;9;0;9;2;0;0
BOM PROGRESSO;0;0;0;1;0;0;0;0;1;1;0;0;0;0
BOM RETIRO DO SUL;0;0;0;2;0;0;1;0;6;0;3;2;0;0
BOQUEIRAO DO LEAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOSSOROCA;0;0;0;5;3;0;0;0;0;0;2;0;0;0
BOZANO;0;0;0;0;0;0;0;0;0;0;0;1;0;0
BRAGA;0;0;0;2;1;0;0;0;0;0;0;0;0;0
BROCHIER;0;0;0;0;0;0;0;0;2;0;0;0;0;0
BUTIA;0;0;0;20;0;0;4;0;7;3;3;4;0;0
CACAPAVA DO SUL;0;0;0;30;5;2;7;0;24;1;7;4;0;0
CACEQUI;0;0;0;8;3;0;3;0;3;1;3;0;0;0
CACHOEIRA DO SUL;0;0;0;33;1;1;7;0;24;3;1;17;0;0
CACHOEIRINHA;2;2;0;74;0;13;66;13;94;3;21;8;0;0
CACIQUE DOBLE;0;0;0;3;0;0;0;0;2;0;0;0;0;0
CAIBATE;0;0;0;1;0;0;0;0;3;0;0;0;0;0
CAICARA;1;1;0;2;1;2;0;0;1;0;0;0;0;0
CAMAQUA;0;0;0;42;2;1;3;0;29;3;11;11;0;0
CAMARGO;0;0;0;0;0;0;0;0;0;0;4;0;0;0
CAMBARA DO SUL;0;0;0;7;2;0;0;0;3;2;0;0;0;0
CAMPESTRE DA SERRA;0;0;0;4;0;0;0;0;0;0;1;0;0;0
CAMPINA DAS MISSOES;0;0;0;2;1;0;0;0;2;0;1;0;0;0
CAMPINAS DO SUL;0;0;0;4;0;0;0;0;1;1;5;1;0;0
CAMPO BOM;0;0;0;50;0;14;11;5;40;2;1;1;0;0
CAMPO NOVO;0;0;0;5;2;0;1;0;3;1;1;1;0;0
CAMPOS BORGES;0;0;0;1;0;0;1;0;0;0;0;0;0;0
CANDELARIA;1;1;0;27;3;2;4;0;14;1;1;0;0;0
CANDIDO GODOI;0;0;0;1;0;1;0;0;2;0;0;0;0;0
CANDIOTA;0;0;0;11;5;1;0;0;2;0;0;0;0;0
CANELA;3;4;0;38;0;2;7;1;28;10;13;17;0;1
CANGUCU;0;0;0;19;3;0;0;0;15;0;1;1;0;0
CANOAS;2;2;0;309;0;29;221;33;263;8;28;65;0;0
CANUDOS DO VALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPAO BONITO DO SUL;0;0;0;3;0;0;0;0;0;0;0;0;0;0
CAPAO DA CANOA;2;2;0;135;0;15;23;1;64;5;21;14;0;0
CAPAO DO CIPO;0;0;0;2;1;0;0;0;1;0;0;0;0;0
CAPAO DO LEAO;0;0;0;5;0;2;6;1;11;0;0;0;0;0
CAPELA DE SANTANA;0;0;0;5;2;1;0;0;5;0;0;2;0;0
CAPITAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAPIVARI DO SUL;0;0;0;3;1;0;1;0;1;1;5;0;0;0
CARAA;0;0;0;2;0;0;0;0;2;1;0;0;0;0
CARAZINHO;2;2;0;75;1;2;16;0;38;7;0;10;0;0
CARLOS BARBOSA;0;0;0;13;1;2;1;0;31;0;4;4;0;0
CARLOS GOMES;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CASCA;0;0;0;5;0;1;0;0;11;0;4;1;0;0
CASEIROS;0;0;0;1;0;0;1;0;2;0;0;0;0;0
CATUIPE;0;0;0;6;1;0;0;0;3;0;1;2;0;0
CAXIAS DO SUL;8;8;0;303;0;61;98;45;457;21;9;36;0;1
CENTENARIO;0;0;0;2;2;0;0;0;2;0;0;0;0;0
CERRITO;0;0;0;5;2;0;0;0;1;0;0;0;0;0
CERRO BRANCO;0;0;0;2;0;1;0;0;0;0;0;0;0;0
CERRO GRANDE;0;0;0;5;1;1;0;0;0;0;0;0;0;0
CERRO GRANDE DO SUL;0;0;0;7;2;0;1;0;1;0;0;0;0;0
CERRO LARGO;0;0;0;3;0;1;1;0;6;0;3;6;0;0
CHAPADA;0;0;0;5;0;0;0;0;2;0;0;0;0;0
CHARQUEADAS;0;0;0;13;0;0;1;0;12;2;18;28;0;0
CHARRUA;0;0;0;1;0;0;0;0;0;0;0;1;0;0
CHIAPETTA;0;0;0;4;0;0;1;0;1;0;0;0;0;0
CHUI;0;0;0;9;1;1;1;0;3;3;1;1;0;0
CHUVISCA;0;0;0;4;0;0;0;0;0;0;0;0;0;0
CIDREIRA;0;0;0;40;0;1;9;1;18;3;15;11;0;0
CIRIACO;0;0;0;3;1;0;0;0;0;0;1;0;0;0
COLINAS;0;0;0;1;0;0;0;0;1;1;0;0;0;0
COLORADO;0;0;0;2;0;0;0;0;0;1;0;0;0;0
CONDOR;0;0;0;2;0;0;0;1;0;0;1;1;0;0
CONSTANTINA;0;0;0;2;1;0;0;0;1;1;2;0;0;0
COQUEIRO BAIXO;0;0;0;0;0;0;0;0;1;0;0;0;0;0
COQUEIROS DO SUL;1;1;0;1;0;1;0;0;0;0;0;0;0;0
CORONEL BARROS;0;0;0;1;0;0;0;0;1;0;0;0;0;0
CORONEL BICACO;0;0;0;6;0;0;2;0;0;1;0;0;0;0
CORONEL PILAR;0;0;0;2;0;0;0;0;0;0;0;0;0;0
COTIPORA;0;0;0;6;0;0;0;0;2;0;0;0;0;0
COXILHA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CRISSIUMAL;0;0;0;5;0;0;0;0;3;1;0;0;0;0
CRISTAL;0;0;0;0;0;0;0;0;2;0;1;1;0;0
CRISTAL DO SUL;0;0;0;0;0;2;0;0;0;0;2;0;0;0
CRUZ ALTA;1;1;0;50;0;3;9;2;31;3;7;7;0;0
CRUZALTENSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRUZEIRO DO SUL;1;3;0;1;0;0;1;1;1;0;1;1;0;0
DAVID CANABARRO;0;0;0;0;0;0;0;0;1;0;1;0;0;0
DERRUBADAS;0;0;0;0;0;0;0;0;1;0;0;0;0;0
DEZESSEIS DE NOVEMBRO;0;0;0;4;3;0;0;0;0;0;0;0;0;0
DILERMANDO DE AGUIAR;0;0;0;1;0;0;0;0;1;1;0;0;0;0
DOIS IRMAOS;0;0;0;12;0;4;4;0;23;2;12;3;0;0
DOIS IRMAOS DAS MISSOES;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DOIS LAJEADOS;0;0;0;1;0;1;0;0;1;0;0;0;0;0
DOM FELICIANO;0;0;0;10;1;0;0;0;6;1;0;0;0;0
DOM PEDRITO;0;0;0;32;8;1;1;0;17;1;1;1;0;0
DOM PEDRO DE ALCANTARA;0;0;0;6;0;0;0;0;0;0;0;0;0;0
DONA FRANCISCA;0;0;0;0;0;0;0;0;1;2;0;1;0;0
DOUTOR RICARDO;0;0;0;1;0;0;0;0;0;0;0;0;0;0
DR MAURICIO CARDOSO;0;0;0;2;0;0;0;0;0;0;0;0;0;0
ELDORADO DO SUL;2;3;0;40;2;4;9;2;15;3;10;2;0;0
ENCANTADO;0;0;0;29;0;2;2;0;13;0;2;4;0;0
ENCRUZILHADA DO SUL;1;1;0;34;2;0;5;1;18;2;1;1;0;0
ENGENHO VELHO;0;0;0;1;0;0;0;0;2;0;0;0;0;0
ENTRE IJUIS;0;0;0;4;0;0;0;0;3;1;2;0;0;0
ENTRE RIOS DO SUL;0;0;0;2;0;0;0;0;1;0;0;0;0;0
EREBANGO;0;0;0;3;0;1;0;0;3;0;0;1;0;0
ERECHIM;3;3;0;78;0;3;9;1;64;16;12;25;0;0
ERNESTINA;1;1;0;4;0;0;0;0;0;1;1;0;0;0
ERVAL GRANDE;0;0;0;1;0;0;0;0;2;0;0;0;0;0
ERVAL SECO;0;0;0;3;1;0;0;0;1;3;0;0;0;0
ESMERALDA;1;1;0;1;1;0;1;0;2;2;2;0;0;0
ESPERANCA DO SUL;0;0;0;0;0;0;0;0;1;0;0;1;0;0
ESPUMOSO;0;0;0;4;0;0;0;0;7;1;1;1;0;0
ESTACAO;0;0;0;2;2;0;0;0;0;0;1;0;0;0
ESTANCIA VELHA;0;0;0;19;0;6;2;4;7;2;5;4;0;0
ESTEIO;0;0;0;85;0;7;27;3;72;3;0;11;0;0
ESTRELA;0;0;0;18;0;1;2;1;17;0;17;7;0;0
ESTRELA VELHA;0;0;0;1;0;0;0;0;1;0;0;0;0;0
EUGENIO DE CASTRO;0;0;0;3;1;0;0;0;1;1;1;0;0;0
FAGUNDES VARELA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FARROUPILHA;1;1;0;51;1;7;6;3;73;7;16;5;0;0
FAXINAL DO SOTURNO;0;0;0;2;0;0;0;0;3;1;0;4;0;0
FAXINALZINHO;0;0;0;1;0;0;0;0;0;0;1;0;0;0
FAZENDA VILA NOVA;0;0;0;5;0;0;0;0;1;1;2;1;0;0
FELIZ;0;0;0;5;0;2;0;0;11;0;6;0;0;0
FLORES DA CUNHA;1;1;0;14;0;1;1;1;18;4;2;1;0;0
FLORIANO PEIXOTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FONTOURA XAVIER;0;0;0;4;1;0;0;0;6;1;0;1;0;0
FORMIGUEIRO;0;0;0;7;3;0;0;0;1;1;0;0;0;0
FORQUETINHA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FORTALEZA DOS VALOS;0;0;0;4;0;0;0;0;1;1;0;0;0;0
FREDERICO WESTPHALEN;1;1;0;18;0;6;3;0;18;1;17;2;0;0
GARIBALDI;0;0;0;9;0;4;0;1;11;0;5;2;0;0
GARRUCHOS;0;0;0;6;4;0;0;0;0;1;0;0;0;0
GAURAMA;0;0;0;1;0;0;0;0;1;1;0;0;0;0
GENERAL CAMARA;0;0;0;11;1;0;2;0;4;1;0;1;0;0
GENTIL;0;0;0;1;0;0;0;0;0;0;0;0;0;0
GETULIO VARGAS;0;0;0;3;0;0;1;0;8;2;3;11;0;0
GIRUA;0;0;0;8;2;1;0;0;4;1;2;1;0;0
GLORINHA;0;0;0;7;0;0;0;0;5;1;0;1;0;0
GRAMADO;0;0;0;21;0;1;0;0;37;0;15;5;0;0
GRAMADO DOS LOUREIROS;0;0;0;1;0;0;0;0;1;0;0;0;0;0
GRAMADO XAVIER;0;0;0;0;0;0;0;0;2;0;0;0;0;0
GRAVATAI;3;3;0;162;4;20;114;20;206;8;20;32;0;0
GUABIJU;0;0;0;0;0;0;0;0;2;1;0;0;0;0
GUAIBA;2;2;0;47;0;2;21;2;52;2;75;18;0;0
GUAPORE;0;0;0;13;0;2;0;0;20;1;6;9;0;0
GUARANI DAS MISSOES;0;0;0;5;0;0;0;0;1;0;0;0;0;0
HARMONIA;0;0;0;0;0;0;0;0;2;1;0;0;0;0
HERVAL;1;1;0;2;2;0;2;0;4;0;1;0;0;0
HERVEIRAS;0;0;0;2;0;0;0;0;2;0;0;0;0;0
HORIZONTINA;0;0;0;11;1;0;0;0;7;1;5;1;0;0
HULHA NEGRA;0;0;0;4;4;0;0;0;1;0;0;0;0;0
HUMAITA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
IBARAMA;1;1;0;3;1;0;0;0;0;0;0;0;0;0
IBIACA;0;0;0;2;0;0;0;0;2;0;0;0;0;0
IBIRAIARAS;0;0;0;9;1;0;0;0;6;0;0;0;0;0
IBIRAPUITA;0;0;0;1;0;0;0;0;2;0;1;2;0;0
IBIRUBA;0;0;0;8;0;1;0;0;13;0;7;3;0;0
