Municipios; Homicidio  Doloso;Vitimas de Homicidio Doloso; Latrocinio; Furtos;Abigeato*;Furto de Veiculo ; Roubos; Roubo de Veiculo; Estelionato; Delitos Relacionados a Armas e Municoes; Entorpecentes Posse; Entorpecentes Trafico;Vitimas de Latrocinio;Vitimas de Lesao Corp Seg Morte
ACEGUA;0;0;0;1;0;0;0;0;2;1;1;0;0;0
AGUA SANTA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
AGUDO;0;0;0;17;1;0;1;0;3;0;3;1;0;0
AJURICABA;0;0;0;1;0;0;0;0;1;0;0;0;0;0
ALECRIM;0;0;0;2;1;0;1;0;3;0;0;0;0;0
ALEGRETE;1;1;0;96;8;3;4;0;53;3;5;6;0;0
ALEGRIA;0;0;0;1;0;0;0;0;1;1;0;0;0;0
ALMIRANTE TAMANDARE DO SUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALPESTRE;0;0;0;5;3;0;0;0;1;0;0;0;0;0
ALTO ALEGRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALTO FELIZ;0;0;0;3;0;0;0;0;3;1;0;0;0;0
ALVORADA;5;6;0;136;2;30;139;15;107;15;9;34;0;0
AMARAL FERRADOR;0;0;0;1;0;0;0;0;0;0;0;0;0;0
AMETISTA DO SUL;0;0;0;2;0;1;0;0;5;0;2;1;0;0
ANDRE DA ROCHA;0;0;0;1;0;0;0;0;0;0;0;0;0;0
ANTA GORDA;0;0;0;1;0;0;0;0;0;0;1;0;0;0
ANTONIO PRADO;0;0;0;3;0;0;0;0;7;0;2;1;0;0
ARAMBARE;0;0;0;5;1;1;0;1;4;0;3;1;0;0
ARARICA;1;1;0;6;0;0;0;0;9;0;1;0;0;0
ARATIBA;0;0;0;1;0;0;0;0;1;0;0;0;0;0
ARROIO DO MEIO;0;0;0;8;0;0;2;0;9;0;1;2;0;0
ARROIO DO PADRE;0;0;0;2;0;0;0;0;0;0;0;0;0;0
ARROIO DO SAL;0;0;0;40;0;4;1;0;17;0;5;7;0;0
ARROIO DO TIGRE;0;0;0;4;0;1;0;0;4;0;0;2;0;0
ARROIO DOS RATOS;0;0;0;4;0;0;0;0;6;0;0;1;0;0
ARROIO GRANDE;0;0;0;13;2;1;0;0;5;1;4;2;0;0
ARVOREZINHA;0;0;0;1;0;0;0;0;0;0;1;0;0;0
AUGUSTO PESTANA;0;0;0;1;0;0;0;0;3;1;0;0;0;0
AUREA;0;0;0;1;0;0;0;0;1;0;0;0;0;0
BAGE;0;0;0;128;2;3;17;1;76;7;10;14;0;0
BALNEARIO PINHAL;1;1;0;34;0;0;7;0;16;2;1;1;0;0
BARAO;0;0;0;1;0;0;0;0;9;0;0;0;0;0
BARAO DE COTEGIPE;0;0;0;0;0;0;0;0;2;0;1;0;0;0
BARAO DO TRIUNFO;0;0;0;3;0;0;0;0;2;0;0;0;0;0
BARRA DO GUARITA;0;0;0;3;0;1;0;0;2;3;0;0;0;0
BARRA DO QUARAI;0;0;0;1;0;0;0;0;6;0;4;1;0;0
BARRA DO RIBEIRO;0;0;0;5;1;0;2;0;10;0;1;2;0;0
BARRA DO RIO AZUL;0;0;0;2;0;0;0;0;2;0;0;0;0;0
BARRA FUNDA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BARRACAO;0;0;0;4;0;0;0;0;2;0;0;0;0;0
BARROS CASSAL;0;0;0;8;0;0;0;0;0;0;1;0;0;0
BENJAMIN CONSTANT DO SUL;0;0;0;0;0;0;0;0;0;1;0;0;0;0
BENTO GONCALVES;5;5;0;84;0;2;17;2;91;9;31;14;0;1
BOA VISTA DAS MISSOES;0;0;0;2;0;0;0;0;2;1;0;0;0;0
BOA VISTA DO BURICA;0;0;0;2;0;0;0;0;0;0;0;0;0;0
BOA VISTA DO CADEADO;0;0;0;2;0;0;0;0;1;0;0;0;0;0
BOA VISTA DO INCRA;0;0;0;1;0;0;0;0;1;0;0;0;0;0
BOA VISTA DO SUL;0;0;0;0;0;0;0;0;1;0;0;0;0;0
BOM JESUS;0;0;0;8;0;0;2;0;6;1;2;1;0;0
BOM PRINCIPIO;0;0;0;6;1;0;0;0;7;0;7;1;0;0
BOM PROGRESSO;0;0;0;1;0;1;0;0;0;0;1;1;0;0
BOM RETIRO DO SUL;0;0;0;14;2;1;0;0;5;0;3;2;0;0
BOQUEIRAO DO LEAO;0;0;0;5;0;0;0;0;0;0;0;0;0;0
BOSSOROCA;0;0;0;2;1;0;0;0;3;2;0;3;0;0
BOZANO;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BRAGA;0;0;0;0;0;1;0;0;0;0;1;0;0;0
BROCHIER;0;0;0;1;0;1;0;0;2;0;0;0;0;0
BUTIA;1;1;0;13;0;0;1;0;11;2;5;3;0;0
CACAPAVA DO SUL;0;0;0;14;3;0;3;0;25;3;8;3;0;0
CACEQUI;0;0;0;21;7;0;1;0;3;0;1;0;0;0
CACHOEIRA DO SUL;1;1;0;87;0;9;14;0;30;4;5;18;0;0
CACHOEIRINHA;1;1;0;99;0;13;57;3;107;2;8;5;0;0
CACIQUE DOBLE;0;0;0;2;0;0;0;0;0;0;0;0;0;0
CAIBATE;0;0;0;2;0;0;0;0;6;0;0;0;0;0
CAICARA;0;0;0;2;1;0;0;0;1;1;0;0;0;0
CAMAQUA;1;1;0;63;2;3;3;1;25;0;12;7;0;0
CAMARGO;0;0;0;0;0;0;1;0;1;0;1;0;0;0
CAMBARA DO SUL;0;0;0;2;0;0;0;0;2;0;0;0;0;0
CAMPESTRE DA SERRA;0;0;0;3;0;0;0;0;0;1;0;0;0;0
CAMPINA DAS MISSOES;0;0;0;0;0;0;0;0;2;1;1;0;0;0
CAMPINAS DO SUL;0;0;0;1;0;0;0;0;2;0;1;0;0;0
CAMPO BOM;0;0;0;80;0;9;10;3;31;0;7;3;0;0
CAMPO NOVO;0;0;0;10;0;1;0;0;1;1;1;0;0;0
CAMPOS BORGES;0;0;0;4;1;0;0;0;0;0;0;0;0;0
CANDELARIA;2;2;0;26;4;0;0;0;12;1;8;2;0;0
CANDIDO GODOI;0;0;0;2;0;0;0;0;1;0;0;1;0;0
CANDIOTA;0;0;0;9;3;1;0;0;5;0;0;0;0;0
CANELA;1;1;0;51;0;2;1;0;41;1;20;16;0;0
CANGUCU;0;0;0;21;1;3;3;0;11;1;1;0;0;0
CANOAS;9;11;0;389;0;35;166;22;288;9;13;35;0;0
CANUDOS DO VALE;0;0;0;0;0;0;0;0;2;0;0;0;0;0
